;1321;1332;1333;1340;1327;1341;1348;1349;1360;1361;1365;1353;1369;1373
1321;0;1;1;1;1;1;1;1;1;1;1;1;1;1
1332;1;0;1;1;1;1;1;1;1;1;1;1;1;1
1333;1;1;0;1;1;1;1;1;1;1;1;1;1;1
1340;1;1;1;0;1;1;1;1;1;1;1;1;1;1
1327;1;1;1;1;0;1;1;1;1;1;1;1;1;1
1341;1;1;1;1;1;0;1;1;1;1;1;1;1;1
1348;1;1;1;1;1;1;0;1;1;1;1;1;1;1
1349;1;1;1;1;1;1;1;0;1;1;1;1;1;1
1360;1;1;1;1;1;1;1;1;0;1;1;1;1;1
1361;1;1;1;1;1;1;1;1;1;0;1;1;1;1
1365;1;1;1;1;1;1;1;1;1;1;0;1;1;1
1353;1;1;1;1;1;1;1;1;1;1;1;0;1;1
1369;1;1;1;1;1;1;1;1;1;1;1;1;0;1
1373;1;1;1;1;1;1;1;1;1;1;1;1;1;0
